,company,job_link,job_location,job_posted,job_title
0,"Anthem, Inc.",http://www.indeed.com/rc/clk?jk=f30c6cfd9ae34599&fccid=2a4da7fa99f4b9ae,"Chicago, IL 60654 (Loop area)",Just posted,Data Scientist or Data Scientist Lead(Healthcare)-115937
1,"Renaissance Learning, Inc.",http://www.indeed.com/rc/clk?jk=a444bdb79a55f6d4&fccid=10a6caa919d4cfca,"Vancouver, WA 98662",Just posted,"Research Scientist, Learning Science"
2,Delanecs,http://www.indeed.com/cmp/Delanecs/jobs/Data-Analytic-Scientist-e7aba04afe9b793c?r=1&fccid=ee83ce511df944f7,"Alpharetta, GA",Just posted,Data Analytic Scientist (ES) - New New
3,Lawrence Berkeley National Laboratory,http://www.indeed.com/rc/clk?jk=0fdad61b9b07acf9&fccid=5bee64c47451d1c2,"Berkeley, CA",Just posted,Research Scientist (Career-Track)
4,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=daff67291bf1b4b0&fccid=b253b564901b80b5,"Dayton, OH 45430",Just posted,Operations Research Analyst
5,Streck,http://www.indeed.com/rc/clk?jk=ca6fd423762a1e33&fccid=0133f7a60e8ad6a2,"Omaha, NE",Just posted,Research and Development Scientist
6,"Carfax, Inc.",http://www.indeed.com/rc/clk?jk=e1b3f19f512cb5b8&fccid=4f7b77bc3ccc0c98,"Centreville, VA",Just posted,Manager - Business Data Analysis
7,Google,http://www.indeed.com/rc/clk?jk=1c3afb54a4ff1688&fccid=a5b4499d9e91a5c6,"Cambridge, MA 02142 (East Cambridge area)",Just posted,"Computational Biologist, Verily Life Sciences"
8,Google,http://www.indeed.com/rc/clk?jk=6fa3f9bc45d4d198&fccid=a5b4499d9e91a5c6,"Mountain View, CA",Just posted,Candidate Offer Assessment Specialist
9,Streck,http://www.indeed.com/rc/clk?jk=507c8dc8aff8a1cb&fccid=0133f7a60e8ad6a2,"Omaha, NE",Just posted,Market Research Analyst
10,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=e260d513dccde44c&fccid=b253b564901b80b5,"Springfield, VA",Just posted,Imagery Scientist (Junior and Senior Level)
11,CDK Global,http://www.indeed.com/rc/clk?jk=9b6157267e192d8e&fccid=cf4c744760f4998e,"Detroit, MI 48226 (Downtown area)",Just posted,SEO Client Partner
12,MONSANTO,http://www.indeed.com/rc/clk?jk=d2d4b722edbb89c8&fccid=3529500887e40d15,"St. Louis, MO",Just posted,Analytics Automation Lead
